From	To
P07339	CTSD
P48549	KCNJ3
P00488	F13A1
O75015	FCGR3B
P05129	PRKCG
P04746	AMY2A
O00206	TLR4
P12931	SRC
P53355	DAPK1
O14818	PSMA7
Q96C86	DCPS
P43116	PTGER2
P36021	SLC16A2
P62937	PPIA
P23945	FSHR
O60264	SMARCA5
Q8WXA8	HTR3C
Q86YB8	ERO1B
O75390	CS
P33681	CD80
P51671	CCL11
P04626	ERBB2
P16083	NQO2
P47870	GABRB2
P09693	CD3G
Q99259	GAD1
P45452	MMP13
Q8N1Q1	CA13
P10826	RARB
O60391	GRIN3B
P07225	PROS1
O00748	CES2
Q9NWT6	HIF1AN
P00747	PLG
Q8WYK2	JDP2
P25705	ATP5F1A
P05121	SERPINE1
Q9NXE4	SMPD4
P02144	MB
Q8IVH4	MMAA
P14854	COX6B1
P11309	PIM1
P42261	GRIA1
P48551	IFNAR2
P52732	KIF11
P43088	PTGFR
P28702	RXRB
P10415	BCL2
P09871	C1S
P67775	PPP2CA
Q9UGM1	CHRNA9
P62508	ESRRG
Q8IU85	CAMK1D
P62942	FKBP1A
P23141	CES1
Q9NZD2	GLTP
P22392	NME2
P51170	SCNN1G
P07478	PRSS2
Q9H6Z9	EGLN3
P25021	HRH2
Q92696	RABGGTA
P14868	DARS1
P15259	PGAM2
Q13956	PDE6H
Q05940	SLC18A2
P51178	PLCD1
P04054	PLA2G1B
Q99714	HSD17B10
P24347	MMP11
P04745	AMY1A
P04745	AMY1B
P04745	AMY1C
Q92769	HDAC2
O43570	CA12
Q16881	TXNRD1
P07947	YES1
O60733	PLA2G6
P35346	SSTR5
Q9Y6F1	PARP3
P23416	GLRA2
Q701N4	KRTAP5-2
P05106	ITGB3
Q9NP56	PDE7B
Q16696	CYP2A13
P08243	ASNS
P17600	SYN1
P09848	LCT
P14679	TYR
O15382	BCAT2
P20674	COX5A
Q16831	UPP1
Q9NWZ5	UCKL1
Q9ULW8	PADI3
Q96GD0	PDXP
P27816	MAP4
Q12797	ASPH
P00387	CYB5R3
Q8TC12	RDH11
P01850	TRBC1
Q9UBX1	CTSF
P22301	IL10
P12314	FCGR1A
Q9UNP4	ST3GAL5
P47871	GCGR
P07327	ADH1A
Q15858	SCN9A
Q15596	NCOA2
O75795	UGT2B17
P18440	NAT1
P11836	MS4A1
Q16854	DGUOK
P68371	TUBB4B
P51857	AKR1D1
O00591	GABRP
O75311	GLRA3
O60664	PLIN3
Q9Y2D1	ATF5
P01009	SERPINA1
P09467	FBP1
P41180	CASR
P01130	LDLR
P32297	CHRNA3
P40306	PSMB10
Q9NZV6	MSRB1
Q8N142	ADSS1
P07437	TUBB
P05186	ALPL
Q9NPA1	KCNMB3
P01374	LTA
P00736	C1R
P08319	ADH4
P51580	TPMT
Q05586	GRIN1
P13584	CYP4B1
O60547	GMDS
O15217	GSTA4
O75600	GCAT
P16442	ABO
Q96RQ3	MCCC1
O94788	ALDH1A2
P01303	NPY
Q13838	DDX39B
Q99835	SMO
Q9HB55	CYP3A43
Q99720	SIGMAR1
P42263	GRIA3
P05093	CYP17A1
P31749	AKT1
Q9UL54	TAOK2
P07101	TH
O60669	SLC16A7
P30556	AGTR1
Q9HCR9	PDE11A
Q9UQQ2	SH2B3
P30043	BLVRB
Q15648	MED1
Q00796	SORD
O15399	GRIN2D
Q6TGC4	PADI6
P30711	GSTT1
P14625	HSP90B1
Q86SZ2	TRAPPC6B
Q9UM07	PADI4
P35270	SPR
P30988	CALCR
Q9HB40	SCPEP1
P16112	ACAN
P0C0L4	C4A
Q9BY49	PECR
P01584	IL1B
P10515	DLAT
Q9UBX3	SLC25A10
O00763	ACACB
Q9Y6M4	CSNK1G3
P22459	KCNA4
P17948	FLT1
Q16206	ENOX2
Q8N8N7	PTGR2
P14920	DAO
P06858	LPL
P25815	S100P
Q03426	MVK
P35503	UGT1A3
P31785	IL2RG
O95180	CACNA1H
P23921	RRM1
Q02221	COX6A2
Q9BZX2	UCK2
P23415	GLRA1
P42336	PIK3CA
P98194	ATP2C1
P05089	ARG1
P30153	PPP2R1A
Q01668	CACNA1D
P09622	DLD
P47929	LGALS7
P47929	LGALS7B
P06737	PYGL
P06400	RB1
Q9H252	KCNH6
P50391	NPY4R
P31639	SLC5A2
P04049	RAF1
P02788	LTF
P15289	ARSA
P80404	ABAT
Q5T4S7	UBR4
Q5JPH6	EARS2
O95865	DDAH2
P99999	CYCS
Q9UI33	SCN11A
P09038	FGF2
Q9Y289	SLC5A6
P28845	HSD11B1
P02649	APOE
Q96EY8	MMAB
Q9NZK7	PLA2G2E
Q96CD2	PPCDC
Q06124	PTPN11
P14410	SI
P41743	PRKCI
Q86W47	KCNMB4
P00813	ADA
Q07973	CYP24A1
P23109	AMPD1
P08263	GSTA1
P01709	IGLV2-8
Q9Y2J8	PADI2
P19367	HK1
Q9UBQ6	EXTL2
P39086	GRIK1
P11926	ODC1
O43447	PPIH
Q14749	GNMT
P19113	HDC
Q04609	FOLH1
O43739	CYTH3
P08238	HSP90AB1
P50416	CPT1A
P54219	SLC18A1
P29508	SERPINB3
P14780	MMP9
P48544	KCNJ5
P20231	TPSB2
Q99624	SLC38A3
Q9NQS7	INCENP
P52209	PGD
P40238	MPL
O14832	PHYH
P36897	TGFBR1
P27815	PDE4A
P08519	LPA
Q6UWM7	LCTL
O43497	CACNA1G
P84077	ARF1
